Category,Benchmark,LLaVA-OneVision-2,Qwen3-VL-8B,Keye-VL-1.5-8B,InternVL-3.5-8B,PLM-8B,LLaVA-OneVision-1.5
Video,MV-Bench,66.2,69.0,56.9,72.1,77.1,51.2
Video,NextQA,82.5,83.4,75.8,82.0,84.1,73.7
Video,TempCompass-MC,74.5,74.3,75.5,70.4,72.7,57.5
Video,VideoMME,71.9,71.4,73.0,65.9,60.5,61.1
Video,VideoMME (w/ s...),76.3,75.6,76.2,68.6,65.6,65.5
Video,VideoMME-v2-64,19.5,18.2,14.1,14.6,8.7,9.1
Video,MLVU-dev,76.0,78.1,75.0,71.0,66.4,62.1
Video,LVBench,55.8,58.0,42.8,46.7,44.5,40.1
Video,LongVideoBench,66.2,68.0,66.0,62.4,59.6,56.2
Video,MMVU-val,56.2,58.7,68.3,60.2,43.3,50.1
Video,VideoEval-Pro,60.9,59.2,54.9,50.1,47.2,44.8
Video,MMOU,39.5,40.6,35.3,36.1,26.2,30.7
Video,t/Charades,53.5,48.3,45.4,27.8,34.5,15.6
Video,t/ActivityNet,53.8,46.8,41.3,31.3,7.6,17.7
Video,t/QVHighlights,66.4,59.4,55.5,31.3,4.2,21.0
Video,OV-Rope,61.8,27.5,39.3,11.2,13.6,8.3
Video,Average,61.3,58.5,56.0,50.1,44.7,41.5
Spatial,VSI-Bench,70.9,59.1,36.4,56.0,27.9,30.2
Spatial,ReVSI,57.6,48.9,32.4,47.9,30.7,33.5
Spatial,CRPE,77.3,77.7,75.2,75.0,77.0,74.8
Spatial,MetaVQA,69.1,68.7,59.2,65.7,45.4,67.1
Spatial,ERQA,43.3,42.3,38.3,41.8,44.3,41.5
Spatial,CV-Bench 2D,82.6,81.0,78.2,77.9,80.6,76.5
Spatial,CV-Bench 3D,92.8,92.3,82.0,86.3,82.4,82.9
Spatial,CrossPoint,61.9,26.9,20.2,20.2,15.7,15.9
Spatial,EmbSpatial,78.1,77.5,66.3,73.2,73.5,64.2
Spatial,SAT,69.3,69.3,62.7,54.7,36.7,61.3
Spatial,MMSI-Bench,29.6,31.0,26.7,28.1,31.4,28.3
Spatial,BLINK,63.5,65.1,52.2,55.7,56.0,48.3
Spatial,TraceSpatial-3D,31.0,8.0,3.0,4.0,1.0,1.0
Spatial,Average,63.6,57.5,48.7,52.8,46.4,48.1
Image,MMStar,64.8,62.9,73.6,66.6,57.9,67.9
Image,MMBench_en,85.7,84.9,88.5,87.9,80.2,85.6
Image,DocVQA,95.2,95.7,94.9,92.3,94.6,97.8
Image,ChartQA,85.9,85.1,84.7,86.7,85.5,86.5
Image,InfoVQA,74.4,83.4,76.9,79.1,80.0,79.1
Image,OCRBench,78.2,84.7,84.8,84.0,83.2,82.6
Image,AI2D,84.3,83.6,86.0,84.0,92.7,84.0
Image,V*,85.9,85.3,78.0,81.7,71.2,77.5
Image,CountBench,89.0,89.8,83.1,75.6,91.8,87.8
Image,Pixmo_Count,64.0,62.4,55.6,61.8,68.0,63.1
Image,RealWorldQA,69.7,69.4,69.8,63.1,72.7,68.1
Image,Average,79.7,80.7,79.6,78.4,79.8,80.0
Overall,Average,67.1,64.3,60.1,58.8,54.9,54.3
